PUMA2020,elasticity,delta_bar,A_g,α_g,delta_g,HDD_g,CDD_g
603730,0.16388308,0.017898811894795728,-0.007210796805549875,-0.005997847511305011,0.12462498973252108,-214.39970424130806,196.21566688386997
603731,0.14556859,0.032438905508967775,-0.007210796805549875,-0.005997847511305011,0.12462461529710098,-214.39970424130806,196.21566688386997
603732,0.15670493,0.017401163151674805,-0.007210796805549875,-0.005997847511305011,0.12462467986831635,-214.39970424130806,196.21566688386997
603733,0.1835117,0.010229525762418822,-0.007210796805549875,-0.005997847511305011,0.12462401699503463,-214.39970424130806,196.21566688386997
603734,0.12513702,0.019988481179067517,-0.0070475050663790575,-0.005610464271296582,0.12462496825301642,-221.07872181780573,193.82111212945802
603735,0.13463756,0.02957557138160673,-0.006605219436267676,-0.004561213150133069,0.12462469646719794,-239.16924808904733,187.3353146006351
603736,0.12297881,0.028069983833916685,-0.006602431846022936,-0.004554600043148557,0.1246245668543059,-239.28326711006608,187.29443661435246
603737,0.11980879,0.03832852827379273,-0.006602431846022936,-0.004554600043148557,0.12462471767108856,-239.28326711006608,187.29443661435246
603738,0.16579831,0.04527419852135804,-0.006605694385428271,-0.0045577640353992675,0.12462484462759608,-239.35962816828226,187.37954766647715
603739,0.14724205,0.07662879910914042,-0.008139842086498698,-0.007769733197675731,0.12462454180321103,-196.2127909913717,213.3588967879125
603740,0.144518,0.054203371107289025,-0.00768121488858819,-0.006855238997908318,0.12462480402700242,-207.01548135811242,205.22018174537064
603741,0.20102389,0.04990878331413955,-0.008557298185457933,-0.008723595544930116,0.12462473695801753,-180.8107052271899,219.777738986802
603742,0.2182039,0.049912800847401635,-0.00842358269927418,-0.008745076167727357,0.12462459902176912,-170.75036344066015,215.0583474373581
603743,0.13215381,0.02655449590715238,-0.006602431846022936,-0.004554600043148557,0.12462438600815007,-239.28326711006608,187.29443661435246
603744,0.14835781,0.03228253710002948,-0.006700227901527225,-0.0047866053670778085,0.12462472872851908,-235.28317759578863,188.7285447380069
603745,0.22504975,0.023377616882222854,-0.00751021883170779,-0.006663855228401009,0.12462523386906044,-204.18486393089182,200.96746117429856
603746,0.20058003,0.01803899280538369,-0.007210796805549875,-0.005997847511305011,0.12462422504199343,-214.39970424130806,196.21566688386997
603747,0.15151724,0.02624072842500989,-0.007452196219831346,-0.0065776916127954195,0.12462495414376658,-204.19746744205278,199.69727425684152
603748,0.14036545,0.04662320497717163,-0.008071336611378998,-0.008064873779752825,0.12462469749921481,-178.03080541698455,208.62688893106522
603750,0.18521059,0.02673750692825439,-0.008062051857428537,-0.008042571696593302,0.1246249991488336,-178.4232059483089,208.49297863179473
603751,0.1901861,0.024847808580070446,-0.00838631938788465,-0.00868301404472842,0.12462430147764167,-171.0668539336148,214.2973882619941
603752,0.18810849,0.04011481436509334,-0.00908003940338953,-0.009838406180414545,0.12462481401812966,-165.1748443002122,228.4639395223958
603753,0.17682253,0.05401601200063415,-0.00908003940338953,-0.009838406180414545,0.12462467574728259,-165.1748443002122,228.4639395223958
603754,0.1179094,0.06347058240760048,-0.008974572424542311,-0.009597844131542329,0.12462467049115884,-169.04663133165997,226.83881882299906
603757,0.16973421,0.05301297715847457,-0.008862131193484491,-0.009475479601393338,0.12462484838697453,-167.0256158553959,224.01400618230696
603758,0.17028755,0.033509191156944416,-0.008198335434129875,-0.008369926376866657,0.1246249300961753,-172.66346818964442,210.4585422470613
603759,0.20717581,0.026432647796371323,-0.008198335434129875,-0.008369926376866657,0.1246245842657218,-172.66346818964442,210.4585422470613
