PUMA2020,q,population,H_S,homeownership_rate,total_owner_occupied_home_value,mean_rent,mean_labour_earnings,mean_labour_earnings_workingage,mean_income,mean_income_workingage,delta
401907,237705.3125,116589,171921.056704309,0.3039735082401409,5.036329525745349e9,877.1186605,29356.67583246026,42436.67282665926,42759.24079933841,50703.31923802425,0.00088125617532247
401908,237705.3125,115015,130815.86880157924,0.5368208568876807,3.09424975471273e9,1114.867862095595,44093.90414815873,66021.00439008845,66542.97631826752,81331.68594007718,0.0025193076780196735
401909,237705.3125,122989,191856.87922323955,0.6019413675645273,6.223380961521271e9,1142.587742202626,44131.58190473334,64716.02841010879,65487.68628384177,77905.95827008506,0.0025854129390301835
402502,345202.25,135474,249021.83631398043,0.6154658198356628,1.634253278279622e10,858.9968262,34825.79688,57417.73438,71267.64844,77718.50781,0.36553598615975025
402503,345202.2501835024,100735,185161.53398143264,0.6154397765930071,1.2151309713696024e10,859.0165689229034,34826.51917,57418.35389,71265.60015782714,77718.52829989791,0.36552939574036153
500101,219466.5627745735,171025,263039.2439234141,0.6132712377784628,1.1848907014104847e10,959.6142632775009,79595.45479094982,99495.63871741295,105173.3755397797,116353.8950361013,0.21838191864006046
500102,219466.5625,113308,174266.51144421173,0.6133411526679993,7.850715896337616e9,959.8330078,79625.05469,99528.64844,105206.4766,116389.1953,0.21826881767726766
500201,213711.6721334144,140215,210058.76180319735,0.4729968939518585,6.706245188954435e9,870.0651021,63380.72193813324,80886.94396531582,80120.85501480103,92882.15021252632,0.07254835311422447
500202,213711.6719,105656,158283.93362121494,0.4729655981063843,5.053051404840388e9,870.0875854492188,63381.86328,80888.21094,80120.57813,92882.6875,0.07254482147134586
500300,147090.0118,155660,292598.1961812003,0.5829457637718725,7.884436557092515e9,531.7250123061752,30312.70276119049,44186.61034176242,52851.86980129791,57386.13764292571,0.6774529517829417
