GEOID,scenario,period,HDD,CDD,midyear,SST
501400,RCP45,1985-2015,1427.7616367001006,1208.106055510169,2000,0.0
501501,RCP45,1985-2015,1438.6483730502234,1235.822416779173,2000,0.0
501502,RCP45,1985-2015,1467.505974967501,1216.8527002214676,2000,0.0
501600,RCP45,1985-2015,1356.0681354622698,1251.490305719852,2000,0.0
501700,RCP45,1985-2015,1254.0128920123364,1292.1448828602763,2000,0.0
600101,RCP45,1985-2015,1196.9876184420434,90.64632884668019,2000,0.0
600111,RCP45,1985-2015,1186.7563656284603,90.6647740553354,2000,0.0
600112,RCP45,1985-2015,1361.605699018611,90.3495504462261,2000,0.0
600113,RCP45,1985-2015,1128.860595703125,126.8668441772461,2000,0.0
600114,RCP45,1985-2015,1176.9679199851191,111.27839917411615,2000,0.0
600115,RCP45,1985-2015,1248.8212434895495,111.33903104358978,2000,0.0
600116,RCP45,1985-2015,1228.1903124081382,136.12189633995177,2000,0.0
600117,RCP45,1985-2015,1178.7291954679642,137.75095226206184,2000,0.0
600118,RCP45,1985-2015,1299.1878660959192,142.73709755668642,2000,0.0
600119,RCP45,1985-2015,1514.5047782321499,144.21628724925867,2000,0.0
600120,RCP45,1985-2015,1433.1155793097653,384.6033456697565,2000,0.0
600121,RCP45,1985-2015,1426.283807842572,154.57926936139177,2000,0.0
600122,RCP45,1985-2015,1128.860595703125,126.8668441772461,2000,0.0
600123,RCP45,1985-2015,1353.0114667829105,90.36504438520964,2000,0.0
600300,RCP45,1985-2015,2592.650188204559,501.8937744657136,2000,0.0
600700,RCP45,1985-2015,1223.8489941434648,815.6408904425941,2000,0.0
601100,RCP45,1985-2015,1643.0252363267725,545.9948330888271,2000,0.0
601301,RCP45,1985-2015,1184.074462890625,90.66960906982422,2000,0.0
601305,RCP45,1985-2015,1442.066179336282,233.99917163659285,2000,0.0
601308,RCP45,1985-2015,1209.7072160612768,493.8173839336064,2000,0.0
601309,RCP45,1985-2015,1493.086734856842,203.3327759244501,2000,0.0
601310,RCP45,1985-2015,1183.9124800929028,152.6144922711112,2000,0.0
601311,RCP45,1985-2015,1319.9559220759584,132.3087085539372,2000,0.0
601312,RCP45,1985-2015,1373.1768798828125,90.32868957519531,2000,0.0
601313,RCP45,1985-2015,1516.726707251113,177.84872864990368,2000,0.0
601314,RCP45,1985-2015,1270.9467450770535,335.2446545908485,2000,0.0
601500,RCP45,1985-2015,3154.257149757319,99.80076629456435,2000,0.0
601700,RCP45,1985-2015,2977.5278643701067,231.76973311941913,2000,0.0
601901,RCP45,1985-2015,1203.77194402796,599.7845329974691,2000,0.0
601902,RCP45,1985-2015,1010.3858322242266,1109.4656500171363,2000,0.0
601903,RCP45,1985-2015,981.5696229929138,1167.6503434976003,2000,0.0
601904,RCP45,1985-2015,1027.2359562521083,1046.4811037386426,2000,0.0
601905,RCP45,1985-2015,994.8754484025221,1121.817230907555,2000,0.0
601906,RCP45,1985-2015,968.1955633303196,1192.3138099844464,2000,0.0
601907,RCP45,1985-2015,2755.2742678969275,454.9798635995279,2000,0.0
602300,RCP45,1985-2015,2196.0533026074954,14.038849343192545,2000,0.0
602500,RCP45,1985-2015,495.6972927873224,2056.6893452401737,2000,0.0
602903,RCP45,1985-2015,716.3353341943454,1194.3080542224022,2000,0.0
602904,RCP45,1985-2015,686.88341603826,1177.5016278196802,2000,0.0
602905,RCP45,1985-2015,1411.8306439724217,632.1263043922886,2000,0.0
602906,RCP45,1985-2015,1148.5092007649007,696.4231518927932,2000,0.0
602907,RCP45,1985-2015,727.6731782929014,1162.836947544061,2000,0.0
602908,RCP45,1985-2015,727.0542964253924,1164.651305993756,2000,0.0
603100,RCP45,1985-2015,1075.0390033495376,653.3544841165484,2000,0.0
603300,RCP45,1985-2015,1762.1084704486937,152.0328473498861,2000,0.0
603703,RCP45,1985-2015,1522.5916430028733,329.09518921032287,2000,0.0
603704,RCP45,1985-2015,1519.387032375947,318.4992800540501,2000,0.0
603705,RCP45,1985-2015,1059.0459318675732,294.34750975116964,2000,0.0
603706,RCP45,1985-2015,1388.6524179647788,225.42590576861187,2000,0.0
603707,RCP45,1985-2015,1438.4225938430613,218.3174710808288,2000,0.0
603708,RCP45,1985-2015,1127.15781415286,329.2675980879358,2000,0.0
603709,RCP45,1985-2015,2396.7198971400894,87.9418556681457,2000,0.0
