T2020PUMA_GISMATCH,gamma01b_units_FMM_agg_eq20,gamma01b_units_FMM_agg_eq21
1714300,0.3371042,0.39157555
1716100,0.31882644,0.36593157
1716301,0.32713583,0.34904388
1716302,0.70233929,0.71752602
1716700,0.44279301,0.49638343
1717900,0.53723621,0.60308486
1719500,0.86342841,0.86812431
1719701,0.20357749,0.21105145
1719702,0.25919697,0.26662871
1719703,0.11452385,0.13180196
1719704,0.3216733,0.32996336
1719705,0.47502702,0.486711
1720101,0.3180123,0.36308163
1800101,0.18797262,0.18928845
1800102,0.31423882,0.31794935
1800103,0.35497969,0.36989078
1800104,0.49113896,0.51766503
1800200,0.46649951,0.50495833
1800300,0.37863648,0.43415925
1800401,0.15653177,0.17011116
1800402,0.45921323,0.52087325
1800501,0.50978327,0.53208709
1800502,0.67254639,0.71554857
1800600,0.87982225,0.87982225
1800800,0.70128942,0.73141068
1800900,0.9025436,0.9025436
1801001,0.38068959,0.39305842
1801002,0.47925082,0.49737281
1801003,0.83669686,0.84625453
1801200,0.40075535,0.46150604
1801300,0.5324887,0.58287942
1801600,0.81060874,0.81060874
1801700,0.63455307,0.66472727
1801801,0.6183815,0.66050148
1801901,0.35676086,0.37086004
1801902,0.47469452,0.51408988
1802000,0.58065945,0.64051622
1802100,0.5096876,0.55396682
1802200,0.53216439,0.59485865
1802300,0.64027607,0.66474903
1802401,0.3224563,0.33366853
1802402,0.34254488,0.35338187
1802403,0.2946189,0.30371135
1802404,0.27594635,0.27942801
1802405,0.25815871,0.26051414
1802406,0.3658106,0.38824028
1802407,0.36159191,0.37713835
1802500,0.4320623,0.47883084
1802600,0.52910191,0.61992961
1802900,0.54434657,0.57898635
1803200,0.64391738,0.65196174
1803300,0.74848521,0.75560141
1803400,0.52772754,0.57113838
1803600,0.47692591,0.53336197
1803700,0.50481987,0.53629917
1900301,0.60976428,0.66058528
1900302,0.32314727,0.35669267
1900400,0.94224435,0.94224435
1900500,0.45073551,0.50457317
1900700,0.51443928,0.57426679
1900800,0.8671273,0.86724705
1900900,0.42849967,0.48437575
1901100,0.42089489,0.49412096
1901300,0.92860955,0.92860955
1901400,0.70039475,0.74304998
1901501,0.30780038,0.35086045
1901502,0.60075277,0.64341438
1901503,0.33413988,0.35226265
1901600,0.68964154,0.71788031
1902000,0.49127629,0.54380316
1902100,0.46023101,0.50899959
2000400,0.29525921,0.32013276
2000501,0.29843467,0.32709908
2000601,0.777412,0.78286815
2000700,0.42506835,0.45791385
2000801,0.24942896,0.28009948
2000802,0.19513458,0.20492536
2000803,0.2449463,0.26845485
2000804,0.23982525,0.28360894
2000900,0.51989567,0.56070215
2001201,0.41022134,0.46546274
2001301,0.45455933,0.50628895
2001401,0.25935718,0.26172781
2001501,0.45836112,0.52653503
2100300,0.73635012,0.76265389
2100400,0.63916904,0.63969791
2101400,0.57652956,0.6595124
2101500,0.59527212,0.62095928
2101600,0.56293291,0.58128983
2101701,0.24366343,0.24669531
2101702,0.34203121,0.36040154
2101703,0.44551623,0.46334028
2101704,0.33127776,0.34708539
2101705,0.30633625,0.31947222
2101706,0.36341593,0.38101798
2101800,0.67170113,0.67511356
2101901,0.24855535,0.25787175
2101902,0.35376444,0.39986536
2101903,0.25112849,0.26951262
2102100,0.54634064,0.55831623
2102300,0.88566536,0.88566536
2102400,0.37919131,0.41566241
2102500,0.4416382,0.48100445
2102600,0.4672249,0.50910658
2102700,0.60731226,0.60731226
2102800,0.44344765,0.47418746
2200101,0.38984826,0.44595215
2200102,0.44255757,0.48108381
2200200,0.58057094,0.63350761
2200300,0.80532473,0.80532473
2200400,0.55156082,0.5826965
2200600,1.0479629,1.0479629
2200700,0.70649612,0.74816549
2200801,0.52127647,0.55605668
2200901,0.46821427,0.50026453
2201100,0.71083581,0.7110433
2201201,0.59471834,0.61783367
2201202,0.43684655,0.4519819
2201300,0.7027235,0.7027235
2201400,0.703628,0.73430645
2201501,0.71648937,0.73526639
2201502,0.30249032,0.30750322
2201503,0.38778302,0.41206521
2201504,0.42607215,0.44914797
2201700,0.72596562,0.7425338
2201900,0.38830447,0.41132534
2202000,0.60835189,0.6496731
